name,ring,quadrant,isNew,description
HAProxy,Adopt,Tools,FALSE,<p>Free and open source load balancer and reverse proxy for TCP and HTTP applications - <a href='https://www.haproxy.org/#docs'>Docs</a></p>  
Grafana,Adopt,Tools,FALSE,<p>Visualization and analytics software for monitoring and observability - <a href='https://grafana.com/docs/'>Docs</a></p>
Kibana,Adopt,Tools,FALSE,<p>Data exploration and visualization interface for Elasticsearch - <a href='https://www.elastic.co/guide/en/kibana/current/index.html'>Docs</a></p>
Fluentd,Trial,Languages & Frameworks,TRUE,<p>Open source data collector for unified logging layer - <a href='https://docs.fluentd.org/'>Docs</a></p>  
rsyslog,Adopt,Tools,FALSE,<p>Enhanced system logging and kernel message trapping daemon - <a href='https://www.rsyslog.com/doc/master/'>Docs</a></p>   
GitLab,Adopt,Platforms,FALSE,<p>Web-based DevOps platform providing CI/CD pipelines monitoring and more - <a href='https://docs.gitlab.com/'>Docs</a></p>  
Artifactory,Hold,Tools,FALSE,<p>Legacy artifact repository manager and Docker registry - <a href='https://www.jfrog.com/confluence/display/JFROG/Artifactory+Documentation'>Docs</a></p>  
Nexus,Assess,Tools,TRUE,<p>Repository manager for binary components containers artifacts - <a href='https://help.sonatype.com/repomanager3'>Docs</a></p>   
Atlassian Confluence,Adopt,Platforms,FALSE,<p>Team collaboration and wiki software - <a href='https://confluence.atlassian.com/doc/confluence-documentation-home-3296.html'>Docs</a></p>  
Atlassian Jira,Adopt,Platforms,FALSE,<p>Proprietary agile project management and issue tracking tool - <a href='https://confluence.atlassian.com/jiracoreserver'>Docs</a></p>
Ceph,Adopt,Tools,FALSE,<p>Open source distributed object store and file system - <a href='https://docs.ceph.com/'>Docs</a></p>  
Sentry,Assess,Tools,FALSE,<p>Error monitoring platform to track crashes and exceptions in real time - <a href='https://docs.sentry.io/'>Docs</a></p>   
SonarQube,Assess,Tools,TRUE,<p>Code quality and security management platform - <a href='https://docs.sonarqube.org/latest/'>Docs</a></p>  
Helm 3,Assess,Tools,FALSE,<p>Kubernetes package manager for defining installing and upgrading apps - <a href='https://helm.sh/docs/'>Docs</a></p>  
OpenTracing,Trial,Tools,TRUE,<p>Vendor-neutral APIs and instrumentation for distributed tracing - <a href='https://opentracing.io/docs/'>Docs</a></p>
Apache Tomcat,Adopt,Tools,FALSE,<p>Open source Java servlet container and web server - <a href='https://tomcat.apache.org/tomcat-9.0-doc/index.html'>Docs</a></p>  
NewRelic,Hold,Tools,TRUE,<p>Legacy application performance monitoring tool - <a href='https://docs.newrelic.com/'>Docs</a></p>  
Mattermost,Adopt,Tools,TRUE,<p>Open source Slack alternative for team chat - <a href='https://docs.mattermost.com/'>Docs</a></p>
ArgoCD,Adopt,Languages & Frameworks,TRUE,<p>Declarative continuous delivery tool for Kubernetes - <a href='https://argo-cd.readthedocs.io/en/stable/'>Docs</a></p>   
Consul,Trial,Tools,TRUE,<p>Service mesh solution providing service discovery config and segmentation - <a href='https://www.consul.io/docs'>Docs</a></p>  
Ceph Object Gateway S3,Trial,Tools,TRUE,<p>S3-compatible object storage built on Ceph - <a href='https://docs.ceph.com/en/latest/radosgw/'>Docs</a></p>  
Hadoop,Assess,Tools,TRUE,<p>Legacy big data distributed storage and processing framework - <a href='https://hadoop.apache.org/docs/r3.3.1/hadoop-project-dist/hadoop-common/ClusterSetup.html'>Docs</a></p>   
Quagga,Adopt,Tools,FALSE,<p>Routing software suite providing implementations of routing protocols - <a href='https://www.nongnu.org/quagga/docs.html'>Docs</a></p>  
Terraform,Assess,Tools,TRUE,<p>Infrastructure as code tool for building changing and versioning infrastructure - <a href='https://developer.hashicorp.com/terraform/docs'>Docs</a></p>   
Kustomize,Hold,Tools,FALSE,<p>Template-free way to customize Kubernetes objects - <a href='https://kustomize.io/'>Docs</a></p>  
Kubeseal,Adopt,Tools,TRUE,<p>Kubernetes tool for encrypting secrets at rest - <a href='https://github.com/bitnami-labs/sealed-secrets'>Docs</a></p>
Packer,Trial,Tools,TRUE,<p>HashiCorp tool for creating machine images across platforms - <a href='https://www.packer.io/docs'>Docs</a></p>   
Kubespray,Trial,Tools,TRUE,<p>Ansible-based toolkit for deploying Kubernetes clusters - <a href='https://kubespray.io/'>Docs</a></p>  
DEX,Trial,Tools,TRUE,<p>OpenID Connect identity and user management for Kubernetes - <a href='https://dexidp.io/docs/'>Docs</a></p>  
Velero,Trial,Tools,TRUE,<p>Utility for managing Kubernetes backup and migration - <a href='https://velero.io/docs/'>Docs</a></p>
LightHouse,Trial,Tools,TRUE,<p>Open source automated auditing performance metrics and best practices for the web - <a href='https://github.com/GoogleChrome/lighthouse'>Docs</a></p>  
Structurizr,Trial,Tools,TRUE,<p>Visualization and documentation tool for software architecture - <a href='https://structurizr.com/help/documentation'>Docs</a></p>   
Unleash,Trial,Tools,TRUE,<p>Open source feature flag and toggle system - <a href='https://docs.getunleash.io'>Docs</a></p>
Jasper Reports,Trial,Tools,TRUE,<p>Open source reporting and BI tool for Java apps - <a href='https://community.jaspersoft.com/documentation'>Docs</a></p>
